4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,4,4,4,4,4,4,10,4,4,4,-1,-1,4,4,4,4,4,4,4,-1,-1,4
4,10,4,4,4,10,4,4,4,4,4,4,4,4,10,4,4,4,4,10,10,10,4,4,4,4,8,4,-1,-1,4,4,4,4,4,4,4,-1,-1,4
4,4,6,6,6,4,4,4,8,8,8,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,4,6,6,6,6,6,4,4,4,4
4,4,4,4,4,4,4,4,-1,-1,-1,4,4,4,4,4,10,4,4,4,4,6,6,6,6,6,8,4,10,4,4,6,6,6,6,6,10,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,10,10,4,4,4,6,6,6,6,6,8,4,4,4,10,6,6,-1,6,6,10,10,4,4
4,4,6,6,6,6,6,6,6,4,4,4,4,4,6,8,10,10,8,4,4,-1,-1,-1,-1,-1,8,4,10,4,4,6,6,6,6,6,10,10,10,4
4,4,10,10,6,6,6,10,10,4,4,4,4,4,6,8,-1,10,8,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,10,10,10,4
4,4,-1,-1,6,6,6,-1,-1,4,4,4,4,4,6,6,-1,-1,8,4,4,4,4,4,4,4,4,4,4,4,4,-1,-1,-1,4,4,4,4,4,4
4,10,4,4,6,6,6,-1,-1,4,4,10,4,4,6,6,4,-1,4,4,4,6,4,4,10,4,10,4,4,4,4,-1,-1,-1,4,4,4,4,4,4
4,4,4,4,6,6,6,-1,-1,4,4,10,4,4,4,4,4,4,4,4,4,6,4,4,4,-1,4,4,4,4,4,4,4,4,4,-1,-1,-1,4,4
4,4,4,10,10,10,10,10,4,4,6,10,4,4,4,4,4,4,4,4,4,6,4,4,10,4,10,4,8,8,8,8,8,8,8,4,4,4,10,4
4,4,4,4,4,4,4,4,4,4,6,4,4,4,8,8,8,8,4,4,4,6,4,4,4,4,4,4,8,8,-1,-1,4,4,4,4,4,4,4,4
4,10,4,4,4,4,4,4,4,4,6,4,4,-1,4,4,4,4,4,-1,4,4,4,4,4,4,4,4,8,8,-1,-1,4,4,4,10,4,4,4,4
